@relation 'training_keyboard-weka.filters.unsupervised.attribute.Remove-R4-15,24-26-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6'

@attribute positionX {'\'(-inf-3.4]\'','\'(3.4-5.8]\'','\'(5.8-8.2]\'','\'(8.2-10.6]\'','\'(10.6-13]\'','\'(13-15.4]\'','\'(15.4-17.8]\'','\'(17.8-20.2]\'','\'(20.2-22.6]\'','\'(22.6-inf)\''}
@attribute positionY {'\'(-inf-4.5]\'','\'(4.5-6]\'','\'(6-7.5]\'','\'(7.5-9]\'','\'(9-10.5]\'','\'(10.5-12]\'','\'(12-13.5]\'','\'(13.5-15]\'','\'(15-16.5]\'','\'(16.5-inf)\''}
@attribute numGhosts {'\'(-inf-0.4]\'','\'(0.4-0.8]\'','\'(0.8-1.2]\'','\'(1.2-1.6]\'','\'(1.6-2]\'','\'(2-2.4]\'','\'(2.4-2.8]\'','\'(2.8-3.2]\'','\'(3.2-3.6]\'','\'(3.6-inf)\''}
@attribute distance1 {'\'(-inf-1]\'','\'(1-3]\'','\'(3-5]\'','\'(5-7]\'','\'(7-9]\'','\'(9-11]\'','\'(11-13]\'','\'(13-15]\'','\'(15-17]\'','\'(17-inf)\''}
@attribute distance2 {'\'(-inf-1.6]\'','\'(1.6-4.2]\'','\'(4.2-6.8]\'','\'(6.8-9.4]\'','\'(9.4-12]\'','\'(12-14.6]\'','\'(14.6-17.2]\'','\'(17.2-19.8]\'','\'(19.8-22.4]\'','\'(22.4-inf)\''}
@attribute distance3 {'\'(-inf-2.2]\'','\'(2.2-5.4]\'','\'(5.4-8.6]\'','\'(8.6-11.8]\'','\'(11.8-15]\'','\'(15-18.2]\'','\'(18.2-21.4]\'','\'(21.4-24.6]\'','\'(24.6-27.8]\'','\'(27.8-inf)\''}
@attribute distance4 {'\'(-inf-2.5]\'','\'(2.5-6]\'','\'(6-9.5]\'','\'(9.5-13]\'','\'(13-16.5]\'','\'(16.5-20]\'','\'(20-23.5]\'','\'(23.5-27]\'','\'(27-30.5]\'','\'(30.5-inf)\''}
@attribute distanceNearestFood {'\'(-inf-0.7]\'','\'(0.7-2.4]\'','\'(2.4-4.1]\'','\'(4.1-5.8]\'','\'(5.8-7.5]\'','\'(7.5-9.2]\'','\'(9.2-10.9]\'','\'(10.9-12.6]\'','\'(12.6-14.3]\'','\'(14.3-inf)\''}
@attribute actualScore {'\'(-inf-461.1]\'','\'(461.1-955.2]\'','\'(955.2-1449.3]\'','\'(1449.3-1943.4]\'','\'(1943.4-2437.5]\'','\'(2437.5-2931.6]\'','\'(2931.6-3425.7]\'','\'(3425.7-3919.8]\'','\'(3919.8-4413.9]\'','\'(4413.9-inf)\''}
@attribute foodCount {'\'(-inf-12.1]\'','\'(12.1-24.2]\'','\'(24.2-36.3]\'','\'(36.3-48.4]\'','\'(48.4-60.5]\'','\'(60.5-72.6]\'','\'(72.6-84.7]\'','\'(84.7-96.8]\'','\'(96.8-108.9]\'','\'(108.9-inf)\''}
@attribute movement {Stop,South,East,West,North}

@data
'\'(8.2-10.6]\'','\'(-inf-4.5]\'','\'(2.8-3.2]\'','\'(1-3]\'','\'(4.2-6.8]\'','\'(-inf-2.2]\'','\'(2.5-6]\'','\'(-inf-0.7]\'','\'(-inf-461.1]\'','\'(-inf-12.1]\'',West
'\'(8.2-10.6]\'','\'(-inf-4.5]\'','\'(1.6-2]\'','\'(-inf-1]\'','\'(4.2-6.8]\'','\'(-inf-2.2]\'','\'(2.5-6]\'','\'(-inf-0.7]\'','\'(-inf-461.1]\'','\'(-inf-12.1]\'',West
'\'(5.8-8.2]\'','\'(-inf-4.5]\'','\'(1.6-2]\'','\'(-inf-1]\'','\'(1.6-4.2]\'','\'(-inf-2.2]\'','\'(6-9.5]\'','\'(-inf-0.7]\'','\'(-inf-461.1]\'','\'(-inf-12.1]\'',West
'\'(5.8-8.2]\'','\'(-inf-4.5]\'','\'(1.6-2]\'','\'(-inf-1]\'','\'(1.6-4.2]\'','\'(-inf-2.2]\'','\'(6-9.5]\'','\'(-inf-0.7]\'','\'(-inf-461.1]\'','\'(-inf-12.1]\'',West
'\'(5.8-8.2]\'','\'(-inf-4.5]\'','\'(1.6-2]\'','\'(-inf-1]\'','\'(-inf-1.6]\'','\'(-inf-2.2]\'','\'(6-9.5]\'','\'(-inf-0.7]\'','\'(-inf-461.1]\'','\'(-inf-12.1]\'',West
'\'(5.8-8.2]\'','\'(-inf-4.5]\'','\'(0.8-1.2]\'','\'(-inf-1]\'','\'(-inf-1.6]\'','\'(-inf-2.2]\'','\'(6-9.5]\'','\'(-inf-0.7]\'','\'(461.1-955.2]\'','\'(-inf-12.1]\'',North
'\'(5.8-8.2]\'','\'(-inf-4.5]\'','\'(0.8-1.2]\'','\'(-inf-1]\'','\'(-inf-1.6]\'','\'(-inf-2.2]\'','\'(6-9.5]\'','\'(-inf-0.7]\'','\'(461.1-955.2]\'','\'(-inf-12.1]\'',North
'\'(5.8-8.2]\'','\'(-inf-4.5]\'','\'(0.8-1.2]\'','\'(-inf-1]\'','\'(-inf-1.6]\'','\'(-inf-2.2]\'','\'(6-9.5]\'','\'(-inf-0.7]\'','\'(461.1-955.2]\'','\'(-inf-12.1]\'',North
'\'(5.8-8.2]\'','\'(-inf-4.5]\'','\'(0.8-1.2]\'','\'(-inf-1]\'','\'(-inf-1.6]\'','\'(-inf-2.2]\'','\'(6-9.5]\'','\'(-inf-0.7]\'','\'(461.1-955.2]\'','\'(-inf-12.1]\'',East
'\'(5.8-8.2]\'','\'(4.5-6]\'','\'(0.8-1.2]\'','\'(-inf-1]\'','\'(-inf-1.6]\'','\'(-inf-2.2]\'','\'(2.5-6]\'','\'(-inf-0.7]\'','\'(461.1-955.2]\'','\'(-inf-12.1]\'',North
'\'(5.8-8.2]\'','\'(4.5-6]\'','\'(0.8-1.2]\'','\'(-inf-1]\'','\'(-inf-1.6]\'','\'(-inf-2.2]\'','\'(2.5-6]\'','\'(-inf-0.7]\'','\'(461.1-955.2]\'','\'(-inf-12.1]\'',North
'\'(5.8-8.2]\'','\'(4.5-6]\'','\'(0.8-1.2]\'','\'(-inf-1]\'','\'(-inf-1.6]\'','\'(-inf-2.2]\'','\'(2.5-6]\'','\'(-inf-0.7]\'','\'(461.1-955.2]\'','\'(-inf-12.1]\'',East
'\'(8.2-10.6]\'','\'(4.5-6]\'','\'(0.8-1.2]\'','\'(-inf-1]\'','\'(-inf-1.6]\'','\'(-inf-2.2]\'','\'(2.5-6]\'','\'(-inf-0.7]\'','\'(461.1-955.2]\'','\'(-inf-12.1]\'',East
'\'(8.2-10.6]\'','\'(4.5-6]\'','\'(0.8-1.2]\'','\'(-inf-1]\'','\'(-inf-1.6]\'','\'(-inf-2.2]\'','\'(2.5-6]\'','\'(-inf-0.7]\'','\'(461.1-955.2]\'','\'(-inf-12.1]\'',East
'\'(10.6-13]\'','\'(4.5-6]\'','\'(0.8-1.2]\'','\'(-inf-1]\'','\'(-inf-1.6]\'','\'(-inf-2.2]\'','\'(-inf-2.5]\'','\'(-inf-0.7]\'','\'(461.1-955.2]\'','\'(-inf-12.1]\'',East
'\'(10.6-13]\'','\'(4.5-6]\'','\'(0.8-1.2]\'','\'(-inf-1]\'','\'(-inf-1.6]\'','\'(-inf-2.2]\'','\'(-inf-2.5]\'','\'(-inf-0.7]\'','\'(461.1-955.2]\'','\'(-inf-12.1]\'',East
'\'(10.6-13]\'','\'(4.5-6]\'','\'(-inf-0.4]\'','\'(-inf-1]\'','\'(-inf-1.6]\'','\'(-inf-2.2]\'','\'(-inf-2.5]\'','\'(-inf-0.7]\'','\'(461.1-955.2]\'','\'(-inf-12.1]\'',East
'\'(10.6-13]\'','\'(4.5-6]\'','\'(-inf-0.4]\'','\'(-inf-1]\'','\'(-inf-1.6]\'','\'(-inf-2.2]\'','\'(-inf-2.5]\'','\'(-inf-0.7]\'','\'(461.1-955.2]\'','\'(-inf-12.1]\'',East
'\'(-inf-3.4]\'','\'(4.5-6]\'','\'(3.6-inf)\'','\'(5-7]\'','\'(6.8-9.4]\'','\'(11.8-15]\'','\'(13-16.5]\'','\'(-inf-0.7]\'','\'(-inf-461.1]\'','\'(-inf-12.1]\'',Stop
'\'(-inf-3.4]\'','\'(4.5-6]\'','\'(3.6-inf)\'','\'(5-7]\'','\'(6.8-9.4]\'','\'(11.8-15]\'','\'(13-16.5]\'','\'(-inf-0.7]\'','\'(-inf-461.1]\'','\'(-inf-12.1]\'',Stop
'\'(-inf-3.4]\'','\'(4.5-6]\'','\'(3.6-inf)\'','\'(5-7]\'','\'(6.8-9.4]\'','\'(11.8-15]\'','\'(13-16.5]\'','\'(-inf-0.7]\'','\'(-inf-461.1]\'','\'(-inf-12.1]\'',Stop
'\'(-inf-3.4]\'','\'(4.5-6]\'','\'(3.6-inf)\'','\'(5-7]\'','\'(4.2-6.8]\'','\'(11.8-15]\'','\'(13-16.5]\'','\'(-inf-0.7]\'','\'(-inf-461.1]\'','\'(-inf-12.1]\'',East
'\'(-inf-3.4]\'','\'(4.5-6]\'','\'(3.6-inf)\'','\'(3-5]\'','\'(4.2-6.8]\'','\'(8.6-11.8]\'','\'(9.5-13]\'','\'(-inf-0.7]\'','\'(-inf-461.1]\'','\'(-inf-12.1]\'',East
'\'(3.4-5.8]\'','\'(4.5-6]\'','\'(3.6-inf)\'','\'(3-5]\'','\'(1.6-4.2]\'','\'(8.6-11.8]\'','\'(9.5-13]\'','\'(-inf-0.7]\'','\'(-inf-461.1]\'','\'(-inf-12.1]\'',East
'\'(3.4-5.8]\'','\'(4.5-6]\'','\'(3.6-inf)\'','\'(1-3]\'','\'(1.6-4.2]\'','\'(8.6-11.8]\'','\'(9.5-13]\'','\'(-inf-0.7]\'','\'(-inf-461.1]\'','\'(-inf-12.1]\'',East
'\'(5.8-8.2]\'','\'(4.5-6]\'','\'(3.6-inf)\'','\'(1-3]\'','\'(1.6-4.2]\'','\'(5.4-8.6]\'','\'(9.5-13]\'','\'(-inf-0.7]\'','\'(-inf-461.1]\'','\'(-inf-12.1]\'',East
'\'(5.8-8.2]\'','\'(4.5-6]\'','\'(3.6-inf)\'','\'(1-3]\'','\'(-inf-1.6]\'','\'(5.4-8.6]\'','\'(6-9.5]\'','\'(-inf-0.7]\'','\'(-inf-461.1]\'','\'(-inf-12.1]\'',East
'\'(5.8-8.2]\'','\'(4.5-6]\'','\'(2.8-3.2]\'','\'(3-5]\'','\'(-inf-1.6]\'','\'(5.4-8.6]\'','\'(6-9.5]\'','\'(-inf-0.7]\'','\'(-inf-461.1]\'','\'(-inf-12.1]\'',East
'\'(8.2-10.6]\'','\'(4.5-6]\'','\'(2.8-3.2]\'','\'(3-5]\'','\'(-inf-1.6]\'','\'(2.2-5.4]\'','\'(6-9.5]\'','\'(-inf-0.7]\'','\'(-inf-461.1]\'','\'(-inf-12.1]\'',East
'\'(8.2-10.6]\'','\'(4.5-6]\'','\'(2.8-3.2]\'','\'(5-7]\'','\'(-inf-1.6]\'','\'(2.2-5.4]\'','\'(2.5-6]\'','\'(-inf-0.7]\'','\'(-inf-461.1]\'','\'(-inf-12.1]\'',East
'\'(10.6-13]\'','\'(4.5-6]\'','\'(2.8-3.2]\'','\'(5-7]\'','\'(-inf-1.6]\'','\'(2.2-5.4]\'','\'(2.5-6]\'','\'(-inf-0.7]\'','\'(-inf-461.1]\'','\'(-inf-12.1]\'',East
'\'(10.6-13]\'','\'(4.5-6]\'','\'(2.8-3.2]\'','\'(7-9]\'','\'(-inf-1.6]\'','\'(2.2-5.4]\'','\'(2.5-6]\'','\'(-inf-0.7]\'','\'(-inf-461.1]\'','\'(-inf-12.1]\'',East
'\'(10.6-13]\'','\'(4.5-6]\'','\'(2.8-3.2]\'','\'(7-9]\'','\'(-inf-1.6]\'','\'(2.2-5.4]\'','\'(2.5-6]\'','\'(-inf-0.7]\'','\'(-inf-461.1]\'','\'(-inf-12.1]\'',East
'\'(13-15.4]\'','\'(4.5-6]\'','\'(2.8-3.2]\'','\'(9-11]\'','\'(-inf-1.6]\'','\'(5.4-8.6]\'','\'(-inf-2.5]\'','\'(-inf-0.7]\'','\'(-inf-461.1]\'','\'(-inf-12.1]\'',East
'\'(13-15.4]\'','\'(4.5-6]\'','\'(2.8-3.2]\'','\'(9-11]\'','\'(-inf-1.6]\'','\'(5.4-8.6]\'','\'(-inf-2.5]\'','\'(-inf-0.7]\'','\'(-inf-461.1]\'','\'(-inf-12.1]\'',East
'\'(15.4-17.8]\'','\'(4.5-6]\'','\'(1.6-2]\'','\'(11-13]\'','\'(-inf-1.6]\'','\'(5.4-8.6]\'','\'(-inf-2.5]\'','\'(-inf-0.7]\'','\'(-inf-461.1]\'','\'(-inf-12.1]\'',East
'\'(15.4-17.8]\'','\'(4.5-6]\'','\'(1.6-2]\'','\'(9-11]\'','\'(-inf-1.6]\'','\'(5.4-8.6]\'','\'(-inf-2.5]\'','\'(-inf-0.7]\'','\'(-inf-461.1]\'','\'(-inf-12.1]\'',South
'\'(15.4-17.8]\'','\'(-inf-4.5]\'','\'(1.6-2]\'','\'(9-11]\'','\'(-inf-1.6]\'','\'(5.4-8.6]\'','\'(-inf-2.5]\'','\'(-inf-0.7]\'','\'(-inf-461.1]\'','\'(-inf-12.1]\'',South
'\'(15.4-17.8]\'','\'(-inf-4.5]\'','\'(1.6-2]\'','\'(9-11]\'','\'(-inf-1.6]\'','\'(2.2-5.4]\'','\'(-inf-2.5]\'','\'(-inf-0.7]\'','\'(-inf-461.1]\'','\'(-inf-12.1]\'',South
'\'(13-15.4]\'','\'(-inf-4.5]\'','\'(1.6-2]\'','\'(9-11]\'','\'(-inf-1.6]\'','\'(2.2-5.4]\'','\'(-inf-2.5]\'','\'(-inf-0.7]\'','\'(-inf-461.1]\'','\'(-inf-12.1]\'',West
'\'(13-15.4]\'','\'(-inf-4.5]\'','\'(1.6-2]\'','\'(7-9]\'','\'(-inf-1.6]\'','\'(2.2-5.4]\'','\'(-inf-2.5]\'','\'(-inf-0.7]\'','\'(-inf-461.1]\'','\'(-inf-12.1]\'',West
'\'(10.6-13]\'','\'(-inf-4.5]\'','\'(1.6-2]\'','\'(7-9]\'','\'(-inf-1.6]\'','\'(-inf-2.2]\'','\'(-inf-2.5]\'','\'(-inf-0.7]\'','\'(-inf-461.1]\'','\'(-inf-12.1]\'',West
'\'(10.6-13]\'','\'(-inf-4.5]\'','\'(1.6-2]\'','\'(5-7]\'','\'(-inf-1.6]\'','\'(-inf-2.2]\'','\'(-inf-2.5]\'','\'(-inf-0.7]\'','\'(-inf-461.1]\'','\'(-inf-12.1]\'',West
'\'(10.6-13]\'','\'(-inf-4.5]\'','\'(0.8-1.2]\'','\'(5-7]\'','\'(-inf-1.6]\'','\'(-inf-2.2]\'','\'(-inf-2.5]\'','\'(-inf-0.7]\'','\'(461.1-955.2]\'','\'(-inf-12.1]\'',West
'\'(10.6-13]\'','\'(-inf-4.5]\'','\'(0.8-1.2]\'','\'(3-5]\'','\'(-inf-1.6]\'','\'(-inf-2.2]\'','\'(-inf-2.5]\'','\'(-inf-0.7]\'','\'(461.1-955.2]\'','\'(-inf-12.1]\'',North
'\'(8.2-10.6]\'','\'(-inf-4.5]\'','\'(0.8-1.2]\'','\'(3-5]\'','\'(-inf-1.6]\'','\'(-inf-2.2]\'','\'(-inf-2.5]\'','\'(-inf-0.7]\'','\'(461.1-955.2]\'','\'(-inf-12.1]\'',West
'\'(8.2-10.6]\'','\'(-inf-4.5]\'','\'(0.8-1.2]\'','\'(1-3]\'','\'(-inf-1.6]\'','\'(-inf-2.2]\'','\'(-inf-2.5]\'','\'(-inf-0.7]\'','\'(461.1-955.2]\'','\'(-inf-12.1]\'',West
'\'(5.8-8.2]\'','\'(-inf-4.5]\'','\'(0.8-1.2]\'','\'(1-3]\'','\'(-inf-1.6]\'','\'(-inf-2.2]\'','\'(-inf-2.5]\'','\'(-inf-0.7]\'','\'(461.1-955.2]\'','\'(-inf-12.1]\'',West
'\'(5.8-8.2]\'','\'(-inf-4.5]\'','\'(0.8-1.2]\'','\'(-inf-1]\'','\'(-inf-1.6]\'','\'(-inf-2.2]\'','\'(-inf-2.5]\'','\'(-inf-0.7]\'','\'(461.1-955.2]\'','\'(-inf-12.1]\'',West
'\'(5.8-8.2]\'','\'(-inf-4.5]\'','\'(-inf-0.4]\'','\'(-inf-1]\'','\'(-inf-1.6]\'','\'(-inf-2.2]\'','\'(-inf-2.5]\'','\'(-inf-0.7]\'','\'(461.1-955.2]\'','\'(-inf-12.1]\'',West
'\'(-inf-3.4]\'','\'(10.5-12]\'','\'(3.6-inf)\'','\'(9-11]\'','\'(4.2-6.8]\'','\'(5.4-8.6]\'','\'(16.5-20]\'','\'(12.6-14.3]\'','\'(-inf-461.1]\'','\'(-inf-12.1]\'',Stop
'\'(-inf-3.4]\'','\'(10.5-12]\'','\'(3.6-inf)\'','\'(9-11]\'','\'(6.8-9.4]\'','\'(2.2-5.4]\'','\'(16.5-20]\'','\'(12.6-14.3]\'','\'(-inf-461.1]\'','\'(-inf-12.1]\'',Stop
'\'(-inf-3.4]\'','\'(10.5-12]\'','\'(3.6-inf)\'','\'(7-9]\'','\'(4.2-6.8]\'','\'(5.4-8.6]\'','\'(20-23.5]\'','\'(12.6-14.3]\'','\'(-inf-461.1]\'','\'(-inf-12.1]\'',Stop
'\'(-inf-3.4]\'','\'(10.5-12]\'','\'(3.6-inf)\'','\'(7-9]\'','\'(4.2-6.8]\'','\'(5.4-8.6]\'','\'(16.5-20]\'','\'(12.6-14.3]\'','\'(-inf-461.1]\'','\'(-inf-12.1]\'',Stop
'\'(-inf-3.4]\'','\'(10.5-12]\'','\'(3.6-inf)\'','\'(5-7]\'','\'(1.6-4.2]\'','\'(2.2-5.4]\'','\'(16.5-20]\'','\'(12.6-14.3]\'','\'(-inf-461.1]\'','\'(-inf-12.1]\'',East
'\'(-inf-3.4]\'','\'(10.5-12]\'','\'(3.6-inf)\'','\'(5-7]\'','\'(1.6-4.2]\'','\'(2.2-5.4]\'','\'(13-16.5]\'','\'(10.9-12.6]\'','\'(-inf-461.1]\'','\'(-inf-12.1]\'',East
'\'(3.4-5.8]\'','\'(10.5-12]\'','\'(3.6-inf)\'','\'(5-7]\'','\'(1.6-4.2]\'','\'(2.2-5.4]\'','\'(13-16.5]\'','\'(10.9-12.6]\'','\'(-inf-461.1]\'','\'(-inf-12.1]\'',East
'\'(3.4-5.8]\'','\'(10.5-12]\'','\'(3.6-inf)\'','\'(7-9]\'','\'(1.6-4.2]\'','\'(2.2-5.4]\'','\'(13-16.5]\'','\'(9.2-10.9]\'','\'(-inf-461.1]\'','\'(-inf-12.1]\'',East
'\'(3.4-5.8]\'','\'(9-10.5]\'','\'(3.6-inf)\'','\'(7-9]\'','\'(1.6-4.2]\'','\'(2.2-5.4]\'','\'(13-16.5]\'','\'(7.5-9.2]\'','\'(-inf-461.1]\'','\'(-inf-12.1]\'',South
'\'(3.4-5.8]\'','\'(7.5-9]\'','\'(3.6-inf)\'','\'(5-7]\'','\'(1.6-4.2]\'','\'(2.2-5.4]\'','\'(13-16.5]\'','\'(7.5-9.2]\'','\'(-inf-461.1]\'','\'(-inf-12.1]\'',South
'\'(3.4-5.8]\'','\'(7.5-9]\'','\'(3.6-inf)\'','\'(3-5]\'','\'(1.6-4.2]\'','\'(2.2-5.4]\'','\'(13-16.5]\'','\'(5.8-7.5]\'','\'(-inf-461.1]\'','\'(-inf-12.1]\'',South
'\'(3.4-5.8]\'','\'(7.5-9]\'','\'(3.6-inf)\'','\'(3-5]\'','\'(1.6-4.2]\'','\'(-inf-2.2]\'','\'(13-16.5]\'','\'(7.5-9.2]\'','\'(-inf-461.1]\'','\'(-inf-12.1]\'',West
'\'(-inf-3.4]\'','\'(7.5-9]\'','\'(2.8-3.2]\'','\'(5-7]\'','\'(1.6-4.2]\'','\'(-inf-2.2]\'','\'(13-16.5]\'','\'(7.5-9.2]\'','\'(-inf-461.1]\'','\'(-inf-12.1]\'',West
'\'(-inf-3.4]\'','\'(7.5-9]\'','\'(2.8-3.2]\'','\'(5-7]\'','\'(1.6-4.2]\'','\'(-inf-2.2]\'','\'(13-16.5]\'','\'(9.2-10.9]\'','\'(-inf-461.1]\'','\'(-inf-12.1]\'',North
'\'(-inf-3.4]\'','\'(7.5-9]\'','\'(2.8-3.2]\'','\'(5-7]\'','\'(1.6-4.2]\'','\'(-inf-2.2]\'','\'(13-16.5]\'','\'(9.2-10.9]\'','\'(-inf-461.1]\'','\'(-inf-12.1]\'',North
'\'(3.4-5.8]\'','\'(7.5-9]\'','\'(2.8-3.2]\'','\'(5-7]\'','\'(-inf-1.6]\'','\'(-inf-2.2]\'','\'(13-16.5]\'','\'(7.5-9.2]\'','\'(-inf-461.1]\'','\'(-inf-12.1]\'',East
'\'(3.4-5.8]\'','\'(7.5-9]\'','\'(1.6-2]\'','\'(5-7]\'','\'(-inf-1.6]\'','\'(-inf-2.2]\'','\'(13-16.5]\'','\'(7.5-9.2]\'','\'(-inf-461.1]\'','\'(-inf-12.1]\'',East
'\'(3.4-5.8]\'','\'(9-10.5]\'','\'(1.6-2]\'','\'(5-7]\'','\'(-inf-1.6]\'','\'(-inf-2.2]\'','\'(13-16.5]\'','\'(7.5-9.2]\'','\'(-inf-461.1]\'','\'(-inf-12.1]\'',North
'\'(3.4-5.8]\'','\'(10.5-12]\'','\'(1.6-2]\'','\'(7-9]\'','\'(-inf-1.6]\'','\'(-inf-2.2]\'','\'(13-16.5]\'','\'(9.2-10.9]\'','\'(-inf-461.1]\'','\'(-inf-12.1]\'',North
'\'(3.4-5.8]\'','\'(10.5-12]\'','\'(1.6-2]\'','\'(9-11]\'','\'(-inf-1.6]\'','\'(-inf-2.2]\'','\'(13-16.5]\'','\'(9.2-10.9]\'','\'(-inf-461.1]\'','\'(-inf-12.1]\'',North
'\'(3.4-5.8]\'','\'(10.5-12]\'','\'(1.6-2]\'','\'(9-11]\'','\'(-inf-1.6]\'','\'(-inf-2.2]\'','\'(13-16.5]\'','\'(9.2-10.9]\'','\'(-inf-461.1]\'','\'(-inf-12.1]\'',North
'\'(3.4-5.8]\'','\'(9-10.5]\'','\'(1.6-2]\'','\'(9-11]\'','\'(-inf-1.6]\'','\'(-inf-2.2]\'','\'(13-16.5]\'','\'(7.5-9.2]\'','\'(-inf-461.1]\'','\'(-inf-12.1]\'',South
'\'(3.4-5.8]\'','\'(7.5-9]\'','\'(1.6-2]\'','\'(7-9]\'','\'(-inf-1.6]\'','\'(-inf-2.2]\'','\'(13-16.5]\'','\'(7.5-9.2]\'','\'(-inf-461.1]\'','\'(-inf-12.1]\'',South
'\'(3.4-5.8]\'','\'(7.5-9]\'','\'(1.6-2]\'','\'(5-7]\'','\'(-inf-1.6]\'','\'(-inf-2.2]\'','\'(13-16.5]\'','\'(5.8-7.5]\'','\'(-inf-461.1]\'','\'(-inf-12.1]\'',South
'\'(3.4-5.8]\'','\'(7.5-9]\'','\'(1.6-2]\'','\'(5-7]\'','\'(-inf-1.6]\'','\'(-inf-2.2]\'','\'(13-16.5]\'','\'(7.5-9.2]\'','\'(-inf-461.1]\'','\'(-inf-12.1]\'',West
'\'(-inf-3.4]\'','\'(7.5-9]\'','\'(1.6-2]\'','\'(3-5]\'','\'(-inf-1.6]\'','\'(-inf-2.2]\'','\'(16.5-20]\'','\'(7.5-9.2]\'','\'(-inf-461.1]\'','\'(-inf-12.1]\'',West
'\'(-inf-3.4]\'','\'(7.5-9]\'','\'(1.6-2]\'','\'(3-5]\'','\'(-inf-1.6]\'','\'(-inf-2.2]\'','\'(16.5-20]\'','\'(9.2-10.9]\'','\'(-inf-461.1]\'','\'(-inf-12.1]\'',West
'\'(-inf-3.4]\'','\'(6-7.5]\'','\'(1.6-2]\'','\'(3-5]\'','\'(-inf-1.6]\'','\'(-inf-2.2]\'','\'(13-16.5]\'','\'(7.5-9.2]\'','\'(-inf-461.1]\'','\'(-inf-12.1]\'',South
'\'(-inf-3.4]\'','\'(6-7.5]\'','\'(1.6-2]\'','\'(3-5]\'','\'(-inf-1.6]\'','\'(-inf-2.2]\'','\'(13-16.5]\'','\'(7.5-9.2]\'','\'(-inf-461.1]\'','\'(-inf-12.1]\'',South
'\'(-inf-3.4]\'','\'(6-7.5]\'','\'(1.6-2]\'','\'(1-3]\'','\'(-inf-1.6]\'','\'(-inf-2.2]\'','\'(16.5-20]\'','\'(7.5-9.2]\'','\'(-inf-461.1]\'','\'(-inf-12.1]\'',South
'\'(-inf-3.4]\'','\'(6-7.5]\'','\'(1.6-2]\'','\'(3-5]\'','\'(-inf-1.6]\'','\'(-inf-2.2]\'','\'(16.5-20]\'','\'(9.2-10.9]\'','\'(-inf-461.1]\'','\'(-inf-12.1]\'',West
'\'(-inf-3.4]\'','\'(6-7.5]\'','\'(1.6-2]\'','\'(1-3]\'','\'(-inf-1.6]\'','\'(-inf-2.2]\'','\'(16.5-20]\'','\'(9.2-10.9]\'','\'(-inf-461.1]\'','\'(-inf-12.1]\'',West
'\'(-inf-3.4]\'','\'(4.5-6]\'','\'(1.6-2]\'','\'(1-3]\'','\'(-inf-1.6]\'','\'(-inf-2.2]\'','\'(16.5-20]\'','\'(7.5-9.2]\'','\'(-inf-461.1]\'','\'(-inf-12.1]\'',South
'\'(-inf-3.4]\'','\'(4.5-6]\'','\'(1.6-2]\'','\'(1-3]\'','\'(-inf-1.6]\'','\'(-inf-2.2]\'','\'(16.5-20]\'','\'(9.2-10.9]\'','\'(-inf-461.1]\'','\'(-inf-12.1]\'',South
'\'(-inf-3.4]\'','\'(4.5-6]\'','\'(1.6-2]\'','\'(1-3]\'','\'(-inf-1.6]\'','\'(-inf-2.2]\'','\'(13-16.5]\'','\'(7.5-9.2]\'','\'(-inf-461.1]\'','\'(-inf-12.1]\'',East
'\'(-inf-3.4]\'','\'(4.5-6]\'','\'(1.6-2]\'','\'(1-3]\'','\'(-inf-1.6]\'','\'(-inf-2.2]\'','\'(13-16.5]\'','\'(7.5-9.2]\'','\'(-inf-461.1]\'','\'(-inf-12.1]\'',East
'\'(3.4-5.8]\'','\'(4.5-6]\'','\'(1.6-2]\'','\'(1-3]\'','\'(-inf-1.6]\'','\'(-inf-2.2]\'','\'(13-16.5]\'','\'(5.8-7.5]\'','\'(-inf-461.1]\'','\'(-inf-12.1]\'',East
'\'(3.4-5.8]\'','\'(4.5-6]\'','\'(1.6-2]\'','\'(3-5]\'','\'(-inf-1.6]\'','\'(-inf-2.2]\'','\'(9.5-13]\'','\'(5.8-7.5]\'','\'(-inf-461.1]\'','\'(-inf-12.1]\'',East
'\'(5.8-8.2]\'','\'(4.5-6]\'','\'(1.6-2]\'','\'(3-5]\'','\'(-inf-1.6]\'','\'(-inf-2.2]\'','\'(9.5-13]\'','\'(4.1-5.8]\'','\'(-inf-461.1]\'','\'(-inf-12.1]\'',East
'\'(5.8-8.2]\'','\'(-inf-4.5]\'','\'(1.6-2]\'','\'(1-3]\'','\'(-inf-1.6]\'','\'(-inf-2.2]\'','\'(13-16.5]\'','\'(5.8-7.5]\'','\'(-inf-461.1]\'','\'(-inf-12.1]\'',South
'\'(3.4-5.8]\'','\'(-inf-4.5]\'','\'(1.6-2]\'','\'(-inf-1]\'','\'(-inf-1.6]\'','\'(-inf-2.2]\'','\'(13-16.5]\'','\'(5.8-7.5]\'','\'(-inf-461.1]\'','\'(-inf-12.1]\'',West
'\'(3.4-5.8]\'','\'(-inf-4.5]\'','\'(0.8-1.2]\'','\'(-inf-1]\'','\'(-inf-1.6]\'','\'(-inf-2.2]\'','\'(13-16.5]\'','\'(7.5-9.2]\'','\'(461.1-955.2]\'','\'(-inf-12.1]\'',West
